Column1;Column2;Column3
30043;256;263
30069;256;267
30096;256;263
30123;256;268
30149;256;267
30176;256;266
30205;256;263
30232;256;268
30259;256;263
30285;256;267
30312;256;263
30339;256;264
30366;256;267
30393;256;268
30419;256;263
30446;256;263
30473;256;264
30499;256;268
30524;256;267
30551;256;263
30613;256;262
30641;256;262
30667;256;262
30694;256;267
30721;257;268
30783;256;267
30810;256;264
30836;256;264
30863;256;267
30891;256;263
30919;256;262
30946;256;267
30972;256;262
31000;256;267
31027;256;262
31053;256;262
31080;256;267
31107;260;268
31133;256;263
31160;256;263
31186;256;262
31214;256;268
31243;256;264
31269;256;264
31296;256;263
31324;256;268
31350;256;267
31377;256;263
31404;256;267
31430;256;263
31457;255;263
31483;256;267
31510;255;267
31537;256;263
31566;255;267
31593;256;267
31620;256;268
31646;256;262
31673;256;267
31699;256;263
31727;256;264
31754;256;263
31780;256;263
31807;256;263
31834;260;263
31860;260;262
31887;256;264
31917;256;268
31943;256;263
31970;256;262
31996;256;262
32023;255;268
32050;256;268
32076;256;267
32104;256;263
32131;257;263
32157;260;263
32184;256;263
32210;256;262
32240;260;267
32267;256;267
32293;256;267
32320;256;263
32418;256;263
32446;256;263
32473;260;262
32499;256;264
32526;260;267
32552;260;267
32580;260;263
32607;260;268
32636;260;263
32663;260;268
32690;260;263
32716;256;263
32743;256;267
32770;256;267
32796;256;266
32823;256;263
32850;256;263
32877;256;267
32904;255;263
32930;260;263
32959;256;268
32986;256;267
33013;260;268
33040;255;263
33067;256;267
33093;256;268
33120;256;262
33146;256;267
33173;255;264
33200;260;264
33227;256;263
33254;256;268
33283;256;268
33309;256;267
33336;258;267
33363;256;267
33390;256;263
33417;256;263
33443;254;263
33470;256;262
33497;260;263
33523;256;264
33551;256;263
33577;256;263
33604;255;263
33633;255;268
33659;256;267
33687;256;263
33714;256;263
33740;256;263
33767;256;263
33794;256;267
33820;256;268
33847;255;267
33873;256;262
33901;260;262
33928;256;263
33956;260;263
34019;256;266
34045;260;263
34073;256;263
34100;256;263
34126;257;262
34189;260;262
34215;256;267
34242;256;268
34269;260;263
34296;256;263
34323;256;263
34352;256;268
34378;256;263
34405;260;267
34433;256;267
34459;256;263
34486;256;263
34512;256;263
34539;260;263
34566;256;263
34592;256;263
34619;256;264
34646;260;262
34675;255;262
34702;256;263
34728;256;263
34755;255;263
34782;260;263
34808;260;264
34836;260;263
34863;256;263
34889;260;263
34916;256;263
34942;255;263
34969;256;263
34999;260;263
35025;260;263
35052;256;263
35079;256;263
35105;256;263
35132;260;264
35160;255;263
35186;260;263
35213;256;263
35239;256;263
35266;260;263
35293;260;263
35319;260;268
35349;256;263
35376;260;263
35402;260;264
35429;260;263
35456;260;263
35482;256;264
35510;260;267
35536;256;263
35563;255;264
35590;260;267
35616;260;264
35679;260;263
35708;255;263
35735;256;263
35762;260;268
35788;256;263
35815;255;264
35842;256;264
35868;260;264
35895;256;264
35957;256;263
35984;256;262
36012;256;263
36038;256;264
36067;256;263
36093;260;263
36121;255;262
36148;260;263
36174;260;264
36201;255;262
36228;260;267
36254;260;264
36281;260;267
36308;256;263
36335;255;263
36362;256;263
36391;260;263
36418;255;263
36445;257;268
36471;256;263
36498;260;263
36525;260;267
36551;256;263
36578;261;263
36604;256;263
36632;255;263
36659;256;263
36685;256;263
36715;256;263
36741;260;268
36768;256;263
36795;255;263
36822;256;263
36848;256;263
