Column1;Column2;Column3;Column4
19784;7.06;-0.80;14.38
19806;-0.81;0.15;4.02
19827;-0.38;-0.76;16.23
19885;-2.35;-1.28;12.67
19906;3.46;0.67;7.37
19928;5.05;-0.15;8.69
19950;-0.97;-0.11;11.69
19972;3.74;-1.89;10.48
19993;11.55;-0.66;7.02
20015;11.19;-0.37;9.62
20036;-1.27;-1.21;13.12
20058;-3.64;-1.58;15.39
20079;8.88;-1.39;12.41
20102;-7.16;-0.38;7.69
20123;4.68;-0.59;12.70
20145;0.39;0.34;10.50
20166;-1.77;0.23;8.11
20191;3.20;-1.14;15.23
20212;-0.26;-0.22;3.84
20234;-5.01;-0.59;1.54
20255;2.00;-0.06;7.77
20277;0.57;-0.60;12.21
20298;-0.89;-0.02;8.27
20320;5.46;-0.29;12.97
